KX341966.1 18114 0 KX341966.1 Gmelinoides fasciatus mitochondrion, complete genome
NC_031648.1 14012 0 NC_031648.1 Contracaecum ogmorhini sensu lato South Africa mitochondrion, complete genome
NC_031647.1 14019 0 NC_031647.1 Contracaecum ogmorhini sensu lato Australia mitochondrion, complete genome
NC_031646.1 13948 0 NC_031646.1 Pseudoterranova krabbei mitochondrion, complete genome
NC_031645.1 13962 0 NC_031645.1 Pseudoterranova decipiens sensu lato Germany mitochondrion, complete genome
NC_031644.1 13950 0 NC_031644.1 Pseudoterranova cattani mitochondrion, complete genome
NC_031643.1 13957 0 NC_031643.1 Pseudoterranova bulbosa mitochondrion, complete genome
NC_031642.1 17300 0 NC_031642.1 Ellopostoma mystax isolate UAIC 14301.34 mitochondrion, complete genome
NC_031641.1 16570 0 NC_031641.1 Tuberoschistura baenzigeri isolate UAIC 14301.35 mitochondrion, complete genome
NC_031460.1 16825 0 NC_031460.1 Sahyadria denisonii isolate CBM ZF 11295 mitochondrion, complete genome
NC_030723.1 14147 0 NC_030723.1 Cernuella virgata mitochondrion, complete genome
NC_015365.1 16624 0 NC_015365.1 Leiodon cutcutia mitochondrion, complete genome
NC_015351.1 16406 0 NC_015351.1 Marilyna darwinii mitochondrion, complete genome
NC_014175.1 16544 0 NC_014175.1 Acanthosaura armata mitochondrion, complete genome
NC_008674.1 16637 0 NC_008674.1 Moxostoma poecilurum mitochondrion, complete genome
NC_006922.1 16751 0 NC_006922.1 Pogona vitticeps voucher Kumazawa lab collection mitochondrion, complete genome
NC_006159.1 14496 0 NC_006159.1 Neomaskellia andropogonis mitochondrion, complete genome
NC_004412.1 16496 0 NC_004412.1 Salarias fasciatus mitochondrion, complete genome
KY923647.1 5884 0 KY923647.1 Plasmodium falciparum isolate 49CS mitochondrion, complete genome
KY923646.1 5884 0 KY923646.1 Plasmodium falciparum isolate 48CS mitochondrion, complete genome
KY923645.1 5884 0 KY923645.1 Plasmodium falciparum isolate 47CS mitochondrion, complete genome
KY923644.1 5884 0 KY923644.1 Plasmodium falciparum isolate 46CS mitochondrion, complete genome
KY923643.1 5884 0 KY923643.1 Plasmodium falciparum isolate 45CS mitochondrion, complete genome
KY923642.1 5884 0 KY923642.1 Plasmodium falciparum isolate 44CS mitochondrion, complete genome
KY923641.1 5884 0 KY923641.1 Plasmodium falciparum isolate 43CS mitochondrion, complete genome
KY923640.1 5884 0 KY923640.1 Plasmodium falciparum isolate 42CS mitochondrion, complete genome
KY923639.1 5884 0 KY923639.1 Plasmodium falciparum isolate 41CS mitochondrion, complete genome
KY923638.1 5884 0 KY923638.1 Plasmodium falciparum isolate 40CS mitochondrion, complete genome
KY923637.1 5884 0 KY923637.1 Plasmodium falciparum isolate 38CS mitochondrion, complete genome
KY923636.1 5884 0 KY923636.1 Plasmodium falciparum isolate 35CS mitochondrion, complete genome
KY923635.1 5884 0 KY923635.1 Plasmodium falciparum isolate 36CS mitochondrion, complete genome
KY923634.1 5884 0 KY923634.1 Plasmodium falciparum isolate 34CS mitochondrion, complete genome
KY923633.1 5884 0 KY923633.1 Plasmodium falciparum isolate 32CS mitochondrion, complete genome
KY923632.1 5884 0 KY923632.1 Plasmodium falciparum isolate 31CS mitochondrion, complete genome
KY923631.1 5884 0 KY923631.1 Plasmodium falciparum isolate 30CS mitochondrion, complete genome
KY923630.1 5884 0 KY923630.1 Plasmodium falciparum isolate 29CS mitochondrion, complete genome
KY923629.1 5884 0 KY923629.1 Plasmodium falciparum isolate 28CS mitochondrion, complete genome
KY923628.1 5884 0 KY923628.1 Plasmodium falciparum isolate 27CS mitochondrion, complete genome
KY923627.1 5884 0 KY923627.1 Plasmodium falciparum isolate 26CS mitochondrion, complete genome
KY923626.1 5884 0 KY923626.1 Plasmodium falciparum isolate 25CS mitochondrion, complete genome
KY923625.1 5884 0 KY923625.1 Plasmodium falciparum isolate 24CS mitochondrion, complete genome
KY923624.1 5884 0 KY923624.1 Plasmodium falciparum isolate 23CS mitochondrion, complete genome
KY923623.1 5884 0 KY923623.1 Plasmodium falciparum isolate 22CS mitochondrion, complete genome
KY923622.1 5884 0 KY923622.1 Plasmodium falciparum isolate 20CS mitochondrion, complete genome
KY923621.1 5884 0 KY923621.1 Plasmodium falciparum isolate 18CS mitochondrion, complete genome
KY923620.1 5884 0 KY923620.1 Plasmodium falciparum isolate 17CS mitochondrion, complete genome
KY923619.1 5884 0 KY923619.1 Plasmodium falciparum isolate 16CS mitochondrion, complete genome
KY923618.1 5884 0 KY923618.1 Plasmodium falciparum isolate 14CS mitochondrion, complete genome
KY923617.1 5884 0 KY923617.1 Plasmodium falciparum isolate 13CS mitochondrion, complete genome
KY923616.1 5884 0 KY923616.1 Plasmodium falciparum isolate 12CS mitochondrion, complete genome
KY923615.1 5884 0 KY923615.1 Plasmodium falciparum isolate 10CS mitochondrion, complete genome
KY923614.1 5884 0 KY923614.1 Plasmodium falciparum isolate 09CS mitochondrion, complete genome
KY923613.1 5884 0 KY923613.1 Plasmodium falciparum isolate 08CS mitochondrion, complete genome
KY923612.1 5884 0 KY923612.1 Plasmodium falciparum isolate 05CS mitochondrion, complete genome
KY923611.1 5884 0 KY923611.1 Plasmodium falciparum isolate 03CS mitochondrion, complete genome
KY923610.1 5884 0 KY923610.1 Plasmodium falciparum isolate 02CS mitochondrion, complete genome
KY923609.1 5884 0 KY923609.1 Plasmodium falciparum isolate 01CS mitochondrion, complete genome
KY923608.1 5884 0 KY923608.1 Plasmodium falciparum isolate MARA871 mitochondrion, complete genome
KY923607.1 5884 0 KY923607.1 Plasmodium falciparum isolate MARA872 mitochondrion, complete genome
KY923606.1 5884 0 KY923606.1 Plasmodium falciparum isolate MARA953 mitochondrion, complete genome
KY923605.1 5884 0 KY923605.1 Plasmodium falciparum isolate MARA965 mitochondrion, complete genome
KY923604.1 5884 0 KY923604.1 Plasmodium falciparum isolate MARA960 mitochondrion, complete genome
KY923603.1 5884 0 KY923603.1 Plasmodium falciparum isolate MBA977 mitochondrion, complete genome
KY923602.1 5884 0 KY923602.1 Plasmodium falciparum isolate MBA964 mitochondrion, complete genome
KY923601.1 5884 0 KY923601.1 Plasmodium falciparum isolate MBA972 mitochondrion, complete genome
KY923600.1 5884 0 KY923600.1 Plasmodium falciparum isolate MBA955 mitochondrion, complete genome
KY923599.1 5884 0 KY923599.1 Plasmodium falciparum isolate MBA952 mitochondrion, complete genome
KY923598.1 5884 0 KY923598.1 Plasmodium falciparum isolate MBA958 mitochondrion, complete genome
KY923597.1 5884 0 KY923597.1 Plasmodium falciparum isolate MBA966 mitochondrion, complete genome
KY923596.1 5884 0 KY923596.1 Plasmodium falciparum isolate MBA957 mitochondrion, complete genome
KY923595.1 5884 0 KY923595.1 Plasmodium falciparum isolate MBA975 mitochondrion, complete genome
KY923594.1 5884 0 KY923594.1 Plasmodium falciparum isolate MBA974 mitochondrion, complete genome
KY923593.1 5884 0 KY923593.1 Plasmodium falciparum isolate MBA9969 mitochondrion, complete genome
KY923592.1 5884 0 KY923592.1 Plasmodium falciparum isolate MBA967 mitochondrion, complete genome
KY923591.1 5884 0 KY923591.1 Plasmodium falciparum isolate PVL814 mitochondrion, complete genome
KY923590.1 5884 0 KY923590.1 Plasmodium falciparum isolate PVL679 mitochondrion, complete genome
KY923589.1 5884 0 KY923589.1 Plasmodium falciparum isolate PVL815 mitochondrion, complete genome
KY923588.1 5884 0 KY923588.1 Plasmodium falciparum isolate PVL840 mitochondrion, complete genome
KY923587.1 5884 0 KY923587.1 Plasmodium falciparum isolate PVL838 mitochondrion, complete genome
KY923586.1 5884 0 KY923586.1 Plasmodium falciparum isolate PVL837 mitochondrion, complete genome
KY923585.1 5884 0 KY923585.1 Plasmodium falciparum isolate PVL835 mitochondrion, complete genome
KY923584.1 5884 0 KY923584.1 Plasmodium falciparum isolate PVL820 mitochondrion, complete genome
KY923583.1 5884 0 KY923583.1 Plasmodium falciparum isolate PVL826 mitochondrion, complete genome
KY923582.1 5884 0 KY923582.1 Plasmodium falciparum isolate PVL844 mitochondrion, complete genome
KY923581.1 5884 0 KY923581.1 Plasmodium falciparum isolate PVL813 mitochondrion, complete genome
KY923580.1 5884 0 KY923580.1 Plasmodium falciparum isolate PVL812 mitochondrion, complete genome
KY923579.1 5884 0 KY923579.1 Plasmodium falciparum isolate PVL801 mitochondrion, complete genome
KY923578.1 5884 0 KY923578.1 Plasmodium falciparum isolate PVL832 mitochondrion, complete genome
KY923577.1 5884 0 KY923577.1 Plasmodium falciparum isolate PVL827 mitochondrion, complete genome
KY923576.1 5884 0 KY923576.1 Plasmodium falciparum isolate PVL682 mitochondrion, complete genome
KY923575.1 5884 0 KY923575.1 Plasmodium falciparum isolate PVL683 mitochondrion, complete genome
KY923574.1 5884 0 KY923574.1 Plasmodium falciparum isolate PVL824 mitochondrion, complete genome
KY923573.1 5884 0 KY923573.1 Plasmodium falciparum isolate PVL828 mitochondrion, complete genome
KY923572.1 5884 0 KY923572.1 Plasmodium falciparum isolate PVL841 mitochondrion, complete genome
KY923571.1 5884 0 KY923571.1 Plasmodium falciparum isolate PVL680 mitochondrion, complete genome
KY923570.1 5884 0 KY923570.1 Plasmodium falciparum isolate PVL678 mitochondrion, complete genome
KY923569.1 5884 0 KY923569.1 Plasmodium falciparum isolate PVL816 mitochondrion, complete genome
KY923568.1 5884 0 KY923568.1 Plasmodium falciparum isolate PVL829 mitochondrion, complete genome
KY923567.1 5884 0 KY923567.1 Plasmodium falciparum isolate PVL831 mitochondrion, complete genome
KY923566.1 5884 0 KY923566.1 Plasmodium falciparum isolate ITB1011 mitochondrion, complete genome
KY923565.1 5884 0 KY923565.1 Plasmodium falciparum isolate ITB1012 mitochondrion, complete genome
KY923564.1 5884 0 KY923564.1 Plasmodium falciparum isolate ITB1013 mitochondrion, complete genome
KY923563.1 5884 0 KY923563.1 Plasmodium falciparum isolate ITB10133 mitochondrion, complete genome
KY923562.1 5884 0 KY923562.1 Plasmodium falciparum isolate ITB1032 mitochondrion, complete genome
KY923561.1 5884 0 KY923561.1 Plasmodium falciparum isolate ITB1029 mitochondrion, complete genome
KY923560.1 5884 0 KY923560.1 Plasmodium falciparum isolate ITB1022 mitochondrion, complete genome
KY923559.1 5884 0 KY923559.1 Plasmodium falciparum isolate ITB1021 mitochondrion, complete genome
KY923558.1 5884 0 KY923558.1 Plasmodium falciparum isolate ITB1020 mitochondrion, complete genome
KY923557.1 5884 0 KY923557.1 Plasmodium falciparum isolate ITB1019 mitochondrion, complete genome
KY923556.1 5884 0 KY923556.1 Plasmodium falciparum isolate ITB1018 mitochondrion, complete genome
KY923555.1 5884 0 KY923555.1 Plasmodium falciparum isolate ITB1017 mitochondrion, complete genome
KY923554.1 5884 0 KY923554.1 Plasmodium falciparum isolate ITB1014 mitochondrion, complete genome
KY923553.1 5884 0 KY923553.1 Plasmodium falciparum isolate ITB995 mitochondrion, complete genome
KY923552.1 5884 0 KY923552.1 Plasmodium falciparum isolate ITB988 mitochondrion, complete genome
KY923551.1 5884 0 KY923551.1 Plasmodium falciparum isolate ITB987 mitochondrion, complete genome
KY923550.1 5884 0 KY923550.1 Plasmodium falciparum isolate ITB986 mitochondrion, complete genome
KY923549.1 5884 0 KY923549.1 Plasmodium falciparum isolate ITB1024 mitochondrion, complete genome
KY923548.1 5884 0 KY923548.1 Plasmodium falciparum isolate ITB1015 mitochondrion, complete genome
KY923547.1 5884 0 KY923547.1 Plasmodium falciparum isolate ITB990 mitochondrion, complete genome
KY923546.1 5884 0 KY923546.1 Plasmodium falciparum isolate ITB1025 mitochondrion, complete genome
KY923545.1 5884 0 KY923545.1 Plasmodium falciparum isolate ITB1028 mitochondrion, complete genome
KY923544.1 5884 0 KY923544.1 Plasmodium falciparum isolate ITB1023 mitochondrion, complete genome
KY923543.1 5884 0 KY923543.1 Plasmodium falciparum isolate ITB984 mitochondrion, complete genome
KY923542.1 5884 0 KY923542.1 Plasmodium falciparum isolate ITB1031 mitochondrion, complete genome
KY923541.1 5884 0 KY923541.1 Plasmodium falciparum isolate TAI807 mitochondrion, complete genome
KY923540.1 5884 0 KY923540.1 Plasmodium falciparum isolate TAI1002 mitochondrion, complete genome
KY923539.1 5884 0 KY923539.1 Plasmodium falciparum isolate TAI799 mitochondrion, complete genome
KY923538.1 5884 0 KY923538.1 Plasmodium falciparum isolate TAI803 mitochondrion, complete genome
KY923537.1 5884 0 KY923537.1 Plasmodium falciparum isolate TAI847 mitochondrion, complete genome
KY923536.1 5884 0 KY923536.1 Plasmodium falciparum isolate TAI858 mitochondrion, complete genome
KY923535.1 5884 0 KY923535.1 Plasmodium falciparum isolate TAI1003 mitochondrion, complete genome
KY923534.1 5884 0 KY923534.1 Plasmodium falciparum isolate TAI800 mitochondrion, complete genome
KY923533.1 5884 0 KY923533.1 Plasmodium falciparum isolate TAI188 mitochondrion, complete genome
KY923532.1 5884 0 KY923532.1 Plasmodium falciparum isolate TAI685 mitochondrion, complete genome
KY923531.1 5884 0 KY923531.1 Plasmodium falciparum isolate TAI780 mitochondrion, complete genome
KY923530.1 5884 0 KY923530.1 Plasmodium falciparum isolate TAI801 mitochondrion, complete genome
KY923529.1 5884 0 KY923529.1 Plasmodium falciparum isolate TAI809 mitochondrion, complete genome
KY923528.1 5884 0 KY923528.1 Plasmodium falciparum isolate TAI810 mitochondrion, complete genome
KY923527.1 5884 0 KY923527.1 Plasmodium falciparum isolate TAI848 mitochondrion, complete genome
KY923526.1 5884 0 KY923526.1 Plasmodium falciparum isolate TAI849 mitochondrion, complete genome
KY923525.1 5884 0 KY923525.1 Plasmodium falciparum isolate TAI850 mitochondrion, complete genome
KY923524.1 5884 0 KY923524.1 Plasmodium falciparum isolate TAI853 mitochondrion, complete genome
KY923523.1 5884 0 KY923523.1 Plasmodium falciparum isolate TAI854 mitochondrion, complete genome
KY923522.1 5884 0 KY923522.1 Plasmodium falciparum isolate TAI856 mitochondrion, complete genome
KY923521.1 5884 0 KY923521.1 Plasmodium falciparum isolate TAI1020 mitochondrion, complete genome
KY923520.1 5884 0 KY923520.1 Plasmodium falciparum isolate TAI857 mitochondrion, complete genome
KY923519.1 5884 0 KY923519.1 Plasmodium falciparum isolate TAI860 mitochondrion, complete genome
KY923518.1 5884 0 KY923518.1 Plasmodium falciparum isolate TAI802 mitochondrion, complete genome
KY923517.1 5884 0 KY923517.1 Plasmodium falciparum isolate TAI866 mitochondrion, complete genome
KY923516.1 5884 0 KY923516.1 Plasmodium falciparum isolate TAI808 mitochondrion, complete genome
KY923515.1 5884 0 KY923515.1 Plasmodium falciparum isolate TAI855 mitochondrion, complete genome
KY923514.1 5884 0 KY923514.1 Plasmodium falciparum isolate TAI1007 mitochondrion, complete genome
KY923513.1 5884 0 KY923513.1 Plasmodium falciparum isolate TAI996 mitochondrion, complete genome
KY923512.1 5884 0 KY923512.1 Plasmodium falciparum isolate TAI859 mitochondrion, complete genome
KY923511.1 5884 0 KY923511.1 Plasmodium falciparum isolate TAI1005 mitochondrion, complete genome
KY923510.1 5884 0 KY923510.1 Plasmodium falciparum isolate TAI1000 mitochondrion, complete genome
KY923509.1 5884 0 KY923509.1 Plasmodium falciparum isolate TAI851 mitochondrion, complete genome
KY923508.1 5884 0 KY923508.1 Plasmodium falciparum isolate TAI846 mitochondrion, complete genome
KY923507.1 5884 0 KY923507.1 Plasmodium falciparum isolate TAI806 mitochondrion, complete genome
KY923506.1 5884 0 KY923506.1 Plasmodium falciparum isolate TAI805 mitochondrion, complete genome
